,x
1219,RP4-665J23.2
1220,RP4-665J23.4
1221,ZNF644
1222,HFM1
1223,CDC7
1224,TGFBR3
1225,BRDT
1226,EPHX4
1227,SETSIP
1228,BTBD8
1229,KIAA1107
1230,RP4-621B10.8
1231,C1orf146
1232,GLMN
1233,RPAP2
1234,GFI1
1235,EVI5
1236,RPL5
1237,FAM69A
1238,MTF2
1239,TMED5
1240,CCDC18
1241,DR1
1242,FNBP1L
1243,BCAR3
1244,RP5-1033H22.2
1245,RP4-561L24.3
1246,DNTTIP2
1247,GCLM
1248,ABCA4
1249,ARHGAP29
1250,RP11-148B18.1
1251,RP11-148B18.4
1252,ABCD3
1253,F3
1254,RP11-86H7.6
1255,SLC44A3
1256,CNN3
1257,RP4-639F20.1
1258,ALG14
1259,RP11-313A24.1
1260,TMEM56
1261,TMEM56-RWDD3
1262,RP11-57H12.3
1263,RP11-57H12.5
1264,RP4-586O15.1
1265,RP11-14O19.2
1266,FLJ31662
1267,RP11-286B14.1
1268,RP11-147C23.1
1269,RP5-898J17.1
1270,PTBP2
1271,DPYD
1272,DPYD-AS1
1273,DPYD-AS2
1274,RP11-272L13.3
1275,RP11-490G2.2
1276,MIR137HG
1277,RP5-1070A16.1
1278,SNX7
1279,PLPPR5
1280,RP5-896L10.1
1281,PLPPR4
1282,RP11-413P11.1
1283,PALMD
1284,FRRS1
1285,AGL
1286,RP5-884G6.2
1287,SLC35A3
1288,MFSD14A
1289,RP4-714D9.2
1290,SASS6
1291,TRMT13
1292,LRRC39
1293,DBT
1294,RTCA-AS1
1295,RTCA
1296,CDC14A
1297,RP5-837M10.4
1298,GPR88
1299,LINC01349
1300,VCAM1
1301,EXTL2
1302,RP4-549L20.3
1303,SLC30A7
1304,DPH5
1305,RP11-421L21.2
1306,RP11-421L21.3
1307,RP4-575N6.4
1308,S1PR1
1309,LINC01307
1310,RP11-411H5.1
1311,OLFM3
1312,RP11-202K23.1
1313,RP5-936J12.1
1314,COL11A1
1315,RP11-153F1.2
1316,RP11-153F1.1
1317,RNPC3
1318,AMY2B
1319,AMY2A
1320,AMY1A
1321,AMY1B
1322,AMY1C
1323,RP11-251P6.1
1324,RP11-24P14.1
1325,RP5-947P14.1
1326,RP11-233E12.1
1327,PRMT6
1328,NTNG1
1329,VAV3
1330,VAV3-AS1
1331,RP11-356N1.2
1332,SLC25A24
1333,RP11-483I13.5
1334,NBPF4
1335,RP11-483I13.2
1336,NBPF6
1337,FAM102B
1338,HENMT1
1339,PRPF38B
1340,FNDC7
1341,RP11-293A10.3
1342,STXBP3
1343,AKNAD1
1344,RP11-475E11.9
1345,SPATA42
1346,GPSM2
1347,WDR47
1348,TAF13
1349,RP5-1065J22.8
1350,TMEM167B
1351,SCARNA2
1352,C1orf194
1353,KIAA1324
1354,SARS
1355,CELSR2
1356,PSRC1
1357,MYBPHL
1358,SORT1
1359,PSMA5
1360,SYPL2
1361,ATXN7L2
1362,CYB561D1
1363,AMIGO1
1364,GPR61
1365,RP5-1160K1.8
1366,GNAI3
1367,GNAT2
1368,AMPD2
1369,RP5-1160K1.6
1370,GSTM4
1371,GSTM2
1372,AC000032.2
1373,GSTM5
1374,GSTM3
1375,EPS8L3
1376,RP4-735C1.6
1377,CSF1
1378,AHCYL1
1379,STRIP1
1380,ALX3
1381,LINC01397
1382,UBL4B
1383,SLC6A17
1384,RP5-1028L10.1
1385,RP5-1028L10.2
1386,KCNC4-AS1
1387,KCNC4
1388,RP5-1074L1.1
1389,RBM15
1390,SLC16A4
1391,RP5-1074L1.4
1392,LAMTOR5
1393,PROK1
1394,RP11-470L19.6
1395,RP11-470L19.2
1396,KCNA2
1397,RP11-284N8.3
1398,KCNA3
1399,CD53
1400,RP11-96K19.2
1401,LRIF1
1402,RP11-96K19.5
1403,DRAM2
1404,CEPT1
1405,RP5-1180E21.4
1406,RP5-1180E21.5
1407,DENND2D
1408,CHI3L2
1409,CHIA
1410,RP5-1125M8.2
1411,PIFO
1412,OVGP1
1413,WDR77
1414,ATP5F1
1415,C1orf162
1416,TMIGD3
1417,RAP1A
1418,LINC01160
1419,FAM212B
1420,FAM212B-AS1
1421,DDX20
1422,KCND3
1423,KCND3-AS1
1424,RP11-88H9.2
1425,RP5-965F6.2
1426,CTTNBP2NL
1427,WNT2B
1428,RP4-671G15.2
1429,ST7L
1430,CAPZA1
1431,MOV10
1432,RP11-426L16.3
1433,RHOC
1434,RP11-426L16.10
1435,PPM1J
1436,RP11-426L16.9
1437,FAM19A3
1438,LINC01356
1439,RP3-522D1.1
1440,SLC16A1
1441,SLC16A1-AS1
1442,RP11-31F15.2
1443,LRIG2
1444,MAGI3
1445,PHTF1
1446,RSBN1
1447,RP5-1073O3.2
1448,PTPN22
1449,AP4B1-AS1
1450,BCL2L15
1451,AP4B1
1452,DCLRE1B
1453,HIPK1-AS1
1454,HIPK1
1455,OLFML3
1456,SYT6
1457,RP4-543J13.1
